snapped_at,price,market_cap,total_volume
2023-11-02 00:00:00 UTC,0.384515242003462,1194191021.5711946,73024546.55309147
2023-11-03 00:00:00 UTC,0.4057727500424877,1260202214.4907472,68537944.49873468
2023-11-04 00:00:00 UTC,0.41177092382084507,1277592159.0383916,72469886.78814721
2023-11-05 00:00:00 UTC,0.4106731593173817,1276725948.8776367,62636747.5001915
2023-11-06 00:00:00 UTC,0.4147864270788599,1289634600.5795352,60859712.39590002
2023-11-07 00:00:00 UTC,0.41635717415857326,1293416386.0435336,59208529.740714446
2023-11-08 00:00:00 UTC,0.41575693987172246,1289244557.6757019,58670296.3537437
2023-11-09 00:00:00 UTC,0.4364062678862692,1359902803.2136664,70471029.09104867
2023-11-10 00:00:00 UTC,0.45791584968954635,1421154212.9403656,148293489.22487837
2023-11-11 00:00:00 UTC,0.4646943589683316,1443751434.6661537,105447138.65236686
2023-11-12 00:00:00 UTC,0.431533618854812,1338850029.848794,84430549.51896212
2023-11-13 00:00:00 UTC,0.4449262267761699,1381073080.2200825,6018652.4365401855
2023-11-14 00:00:00 UTC,0.45607991901846484,1416287295.7441018,10758201.043241004
2023-11-15 00:00:00 UTC,0.4473779257340346,1389315672.3097463,8188996.25678556
2023-11-16 00:00:00 UTC,0.4598374530981422,1426451792.605074,9038310.20645635
2023-11-17 00:00:00 UTC,0.48435921342072313,1502857591.57146,12865750.67512376
2023-11-18 00:00:00 UTC,0.5320323028571876,1652209049.1558278,17682747.597858567
2023-11-19 00:00:00 UTC,0.5031167182068045,1562831330.9586558,14503901.90096944
2023-11-20 00:00:00 UTC,0.49163001717417093,1528863343.1841938,20214180.89342047
2023-11-21 00:00:00 UTC,0.4928147261701072,1527392859.445846,15942709.165652368
2023-11-22 00:00:00 UTC,0.46846021991008263,1455668477.3770213,14028538.460553491
2023-11-23 00:00:00 UTC,0.4602626065105529,1433869799.9586897,16055959.601190295
2023-11-24 00:00:00 UTC,0.5077455435851704,1578428022.394666,15310236.216274625
2023-11-25 00:00:00 UTC,0.5086929998033448,1579536050.8546796,12056717.00473541
2023-11-26 00:00:00 UTC,0.5141207534356332,1597102054.1401443,6475693.645878109
2023-11-27 00:00:00 UTC,0.5124944106277185,1591542643.208699,7297839.497691174
2023-11-28 00:00:00 UTC,0.5049230093518918,1577283573.544588,8297144.428657902
2023-11-29 00:00:00 UTC,0.5344408054522748,1670952578.4823308,9814754.152257957
2023-11-30 00:00:00 UTC,0.5259287312894148,1645626651.8272357,9486384.430240741
2023-12-01 00:00:00 UTC,0.5394677318174226,1688599359.4419892,9151730.047303285
2023-12-02 00:00:00 UTC,0.5460502553387659,1706507365.878382,8564012.928339338
2023-12-03 00:00:00 UTC,0.549718029559488,1716200853.419322,8855218.382352676
2023-12-04 00:00:00 UTC,0.54609438875357,1709711722.1300154,9420734.008510498
2023-12-05 00:00:00 UTC,0.5978791442504885,1867734731.4414253,16918965.080481738
2023-12-06 00:00:00 UTC,0.5859003213668241,1835142307.1502483,19436762.0150894
2023-12-07 00:00:00 UTC,0.6336192097933764,1985215940.3766253,17713704.27444522
2023-12-08 00:00:00 UTC,0.6423381753500232,2010871936.081543,19411589.77568477
2023-12-09 00:00:00 UTC,0.6347714397447439,1985663647.9776194,10402352.060620498
2023-12-10 00:00:00 UTC,0.6154114775829845,1928171005.6198213,9166776.272264984
2023-12-11 00:00:00 UTC,0.6084770563422435,1905342405.9875214,4747866.790887469
2023-12-12 00:00:00 UTC,0.5803207779768013,1817904510.7650135,14128413.604835905
2023-12-13 00:00:00 UTC,0.5796678123443672,1817251391.2278445,6799530.610283113
2023-12-14 00:00:00 UTC,0.5860741320751932,1836576498.7183363,14710295.05938649
2023-12-15 00:00:00 UTC,0.5998357114673466,1878836550.7019238,15775546.802942004
