snapped_at,price,market_cap,total_volume
2023-01-17 00:00:00 UTC,2.122916040824836,1769599012.4298341,120552353.54129179
2023-01-18 00:00:00 UTC,2.011567770754516,1677773708.9747732,95553324.19702064
2023-01-19 00:00:00 UTC,1.9791275417670637,1649331661.5700371,168558326.13953862
2023-01-20 00:00:00 UTC,1.9764127236217486,1648999398.0951502,80273599.3577813
2023-01-21 00:00:00 UTC,2.346582306131445,1955292352.5053327,137520798.79555693
2023-01-22 00:00:00 UTC,2.3724786632706487,2001499219.7684264,189830486.5207829
2023-01-23 00:00:00 UTC,2.2177774246805213,1852088328.1342916,177966217.81108576
2023-01-24 00:00:00 UTC,2.5404415940260883,2118804720.0396078,213536335.2071973
2023-01-25 00:00:00 UTC,2.347139224891089,1954396959.3254185,208861549.1190159
2023-01-26 00:00:00 UTC,2.5239104611800816,2104966609.2975469,238917534.64945728
2023-01-27 00:00:00 UTC,2.3221475786012027,1943011966.148463,127602963.87333854
2023-01-28 00:00:00 UTC,2.393700059160611,2013221362.7699373,129433673.3045558
2023-01-29 00:00:00 UTC,2.2301003190303987,1866373325.5014431,89791037.55232355
2023-01-30 00:00:00 UTC,2.314890404534242,1941345483.6733568,96965135.48087452
2023-01-31 00:00:00 UTC,2.068083697407236,1728788684.1740618,134572323.83973867
2023-02-01 00:00:00 UTC,2.2033974741200275,1844285068.6657948,96954621.03481473
2023-02-02 00:00:00 UTC,2.2912705459352702,1917187346.330971,151129663.3081155
2023-02-03 00:00:00 UTC,2.2790337369665066,1916223022.871253,181624113.13399512
2023-02-04 00:00:00 UTC,2.36528883883249,1988013780.711976,166310346.8676032
2023-02-05 00:00:00 UTC,2.2069790819208372,1855333748.0477967,107150837.93705295
2023-02-06 00:00:00 UTC,2.0484527352555753,1724071943.4025674,124109945.13788581
2023-02-07 00:00:00 UTC,2.2001071724631758,1844075077.2337701,193224495.22501668
2023-02-08 00:00:00 UTC,2.5916214520052328,2182246412.1803565,364618941.0498346
2023-02-09 00:00:00 UTC,2.540966149565191,2109804952.194081,256666755.22659498
2023-02-10 00:00:00 UTC,2.649645937402932,2227296843.408879,859070833.9107072
2023-02-11 00:00:00 UTC,2.2991338412511055,1938188248.0571558,465122554.52351695
2023-02-12 00:00:00 UTC,2.383190813969659,2010903350.2448533,170427353.13906226
2023-02-13 00:00:00 UTC,2.5036779275437495,2110322610.2732146,249869693.55183718
2023-02-14 00:00:00 UTC,2.378437910987731,2005725089.9075394,228170404.78978816
2023-02-15 00:00:00 UTC,2.5714288752777703,2168260019.6959863,232328824.39793384
2023-02-16 00:00:00 UTC,2.8360266312795326,2386935006.394687,261620486.17511436
2023-02-17 00:00:00 UTC,2.6230186510460207,2222580054.4994235,311528125.78647846
2023-02-18 00:00:00 UTC,3.019434678129693,2546926715.1461043,333933711.983967
2023-02-19 00:00:00 UTC,3.2613087007518082,2754493268.1861687,258030344.81585106
2023-02-20 00:00:00 UTC,2.93536005772576,2487506228.8998485,202605162.76620772
2023-02-21 00:00:00 UTC,2.9240085672801825,2470790651.396769,166964734.24764216
2023-02-22 00:00:00 UTC,2.7832681530593666,2347904547.0631456,199415402.92883134
2023-02-23 00:00:00 UTC,2.906574278711019,2459494800.3221025,238710418.0777306
2023-02-24 00:00:00 UTC,2.96491653556417,2498855894.2543926,276228089.6617853
2023-02-25 00:00:00 UTC,2.8781494013526445,2429970476.8951426,233728745.11616197
2023-02-26 00:00:00 UTC,2.9211533277166724,2465611328.8983536,187476627.64643738
2023-02-27 00:00:00 UTC,3.1063093179157724,2626493381.21449,176860970.67132804
2023-02-28 00:00:00 UTC,3.2737861518166294,2778890409.9277925,255446321.14008477
2023-03-01 00:00:00 UTC,2.999535777802029,2538813749.6369452,190808570.6111271
2023-03-02 00:00:00 UTC,3.014611141844372,2550521763.4352474,142056014.0671089
2023-03-03 00:00:00 UTC,3.0168635097405496,2562079083.2154164,170966456.9852102
2023-03-04 00:00:00 UTC,2.7987644811436105,2369255598.9449077,280903451.811146
2023-03-05 00:00:00 UTC,2.547606722268879,2162861350.074656,165941770.60177195
2023-03-06 00:00:00 UTC,2.6258813150902163,2226596777.0853705,159397197.95957565
2023-03-07 00:00:00 UTC,2.588274961613385,2197456302.7420683,171344654.33447298
2023-03-08 00:00:00 UTC,2.546528454011606,2159418023.6889243,140780206.30437854
2023-03-09 00:00:00 UTC,2.3592158867941975,2015010658.0900395,150181809.1740125
2023-03-10 00:00:00 UTC,2.2563604424700494,1912563000.7065988,161259064.22508973
2023-03-11 00:00:00 UTC,2.3185227323194733,1976741720.1875477,212105537.19489384
2023-03-12 00:00:00 UTC,2.134018513199505,1814936426.119372,161807200.180916
2023-03-13 00:00:00 UTC,2.443805426553271,2077814314.7311614,149239020.80241352
2023-03-14 00:00:00 UTC,2.66636273520639,2278137905.5395713,266017903.76976237
2023-03-15 00:00:00 UTC,2.773488338153666,2369299963.939978,229317287.93126008
2023-03-16 00:00:00 UTC,2.3018743180505585,1972924891.742016,262186089.31018305
2023-03-17 00:00:00 UTC,2.4169121073683058,2066403769.8583825,187062777.49686357
2023-03-18 00:00:00 UTC,2.5672106563667167,2193072092.7803893,156957332.2750117
2023-03-19 00:00:00 UTC,2.4868450301166343,2125547848.0460274,176619908.8177491
2023-03-20 00:00:00 UTC,2.4894838543713877,2159747613.533702,97151882.72454467
2023-03-21 00:00:00 UTC,2.304642670303213,1974101745.3802938,98193610.23596178
2023-03-22 00:00:00 UTC,2.416994987686934,2069188232.7328606,108768053.14151873
2023-03-23 00:00:00 UTC,2.386062895384165,2038346481.7920406,155283410.1670373
2023-03-24 00:00:00 UTC,2.332620941900904,2000013578.8984334,101235479.75382425
2023-03-25 00:00:00 UTC,2.1354062532873237,1847236073.0835094,113433820.38244797
2023-03-26 00:00:00 UTC,2.053825743144779,1759704867.751003,65885097.18911782
2023-03-27 00:00:00 UTC,2.1577328471091928,1863739464.506594,89359084.08640724
2023-03-28 00:00:00 UTC,2.1047898881891416,1808983056.0363925,112787265.7110083
2023-03-29 00:00:00 UTC,2.330898329737556,2004869605.049416,131248683.1533411
2023-03-30 00:00:00 UTC,2.3910992306021726,2060960278.7197104,128838380.24174276
2023-03-31 00:00:00 UTC,2.306281171741784,1982650448.9325545,118249257.45723677
2023-04-01 00:00:00 UTC,2.4525203771702597,2118961661.883554,117207647.01403892
2023-04-02 00:00:00 UTC,2.4070310593819806,2075595298.48191,68835528.60761368
2023-04-03 00:00:00 UTC,2.337175962549362,2017943930.9247904,62864326.38265179
2023-04-04 00:00:00 UTC,2.3993135566482366,2077048529.8594565,107347373.46863107
2023-04-05 00:00:00 UTC,2.5859504832918714,2226232121.0073705,116026322.83739525
2023-04-06 00:00:00 UTC,2.592207543866552,2246745517.662554,148734820.442737
2023-04-07 00:00:00 UTC,2.5923767335805112,2242308793.8659406,96458715.36586662
2023-04-08 00:00:00 UTC,2.4938858475424386,2162332526.3930407,69831096.03103404
2023-04-09 00:00:00 UTC,2.3865476278586373,2071840307.309249,53174843.795654535
2023-04-10 00:00:00 UTC,2.3462286711056137,2036522328.5974007,59608250.1973381
2023-04-11 00:00:00 UTC,2.4645619712509035,2140179864.56111,69193199.68353662
2023-04-12 00:00:00 UTC,2.3308398459695883,2025021906.424272,68995553.97519378
2023-04-13 00:00:00 UTC,2.3401149973496986,2031108976.6293058,116247421.06178157
2023-04-14 00:00:00 UTC,2.446620910893284,2130965417.902588,92559656.32124631
2023-04-15 00:00:00 UTC,2.6286685707925597,2283115689.003162,130494624.40414144
2023-04-16 00:00:00 UTC,2.507384453519308,2184681628.092524,58428106.69757445
2023-04-17 00:00:00 UTC,2.5732879696326374,2242075058.076304,66838014.47691596
2023-04-18 00:00:00 UTC,2.492399104375111,2168277411.8832374,60560125.94625869
2023-04-19 00:00:00 UTC,2.525713898277395,2202446894.53349,61619316.63729196
2023-04-20 00:00:00 UTC,2.2546878062781226,1965224009.6563048,84592087.06538858
2023-04-21 00:00:00 UTC,2.1401514623737063,1865839768.6677747,58395550.77046481
2023-04-22 00:00:00 UTC,2.0462805617442044,1785483382.5672064,60927662.754705645
2023-04-23 00:00:00 UTC,2.102030929897525,1838073632.5246499,27914565.06586817
