snapped_at,price,market_cap,total_volume
2022-06-08 00:00:00 UTC,0.4851659385543813,72105734.94909437,895000.6414887441
2022-06-09 00:00:00 UTC,0.4895160055415932,72615231.11803289,622018.5652565251
2022-06-10 00:00:00 UTC,0.49310286298019246,72909327.33787587,454319.87463550695
2022-06-11 00:00:00 UTC,0.4600166468899292,68473265.57444437,478714.5205902311
2022-06-12 00:00:00 UTC,0.423394542236938,62643419.32086817,814593.0671259796
2022-06-13 00:00:00 UTC,0.4005748922872464,60077306.50770871,406124.8214569465
2022-06-14 00:00:00 UTC,0.29330985738505466,43064900.42439259,2131673.9462343943
2022-06-15 00:00:00 UTC,0.2829771529248029,41984958.50002542,827359.1146149843
2022-06-16 00:00:00 UTC,0.28157410901110663,41664296.709222086,1188175.1849394026
2022-06-17 00:00:00 UTC,0.25041304142099297,36961336.33649498,591586.4679140082
2022-06-18 00:00:00 UTC,0.2333876444679194,34711313.851301484,862185.799490012
2022-06-19 00:00:00 UTC,0.22396874165155484,33154791.888099235,739028.5384757312
2022-06-20 00:00:00 UTC,0.25543332997677076,37976053.0309086,696787.5218427315
2022-06-21 00:00:00 UTC,0.2816933835228936,41894390.32535252,986539.730007525
2022-06-22 00:00:00 UTC,0.28876783134687833,42699074.23435935,501518.73629828444
2022-06-23 00:00:00 UTC,0.271528590836581,40222513.3700243,396891.8870954946
2022-06-24 00:00:00 UTC,0.3297253634512551,48956908.76954945,1012646.1327785674
2022-06-25 00:00:00 UTC,0.39208689637529937,58278842.4324452,1204031.4757636874
2022-06-26 00:00:00 UTC,0.3896437225622853,57832301.13520112,548082.5646293714
2022-06-27 00:00:00 UTC,0.3697680794349,54949782.703046866,656730.4089558657
2022-06-28 00:00:00 UTC,0.3605267363565479,53701835.66551783,660763.7770539223
2022-06-29 00:00:00 UTC,0.3545674192844851,52584843.65001597,1857461.5761542
2022-06-30 00:00:00 UTC,0.3401173471603032,50432536.47298386,853356.403659123
2022-07-01 00:00:00 UTC,0.32488088549768585,47356043.74189716,550655.2502125382
2022-07-02 00:00:00 UTC,0.3318354445443974,49244508.64899351,384898.4362473293
2022-07-03 00:00:00 UTC,0.33126483146798197,49172490.804600164,352927.54646345845
2022-07-04 00:00:00 UTC,0.3335817171168433,49684695.06481967,313057.3307808857
2022-07-05 00:00:00 UTC,0.36298433181179296,53561342.46704761,438483.48750295525
2022-07-06 00:00:00 UTC,0.34878676188941976,51572010.544172645,640044.2307324657
2022-07-07 00:00:00 UTC,0.37047127918840966,54979878.16867557,687428.2203010843
2022-07-08 00:00:00 UTC,0.3870888930152438,57723848.86408949,492652.841101238
2022-07-09 00:00:00 UTC,0.38532946296778725,57854517.57799572,612586.8413725026
2022-07-10 00:00:00 UTC,0.38140082470865155,56616863.83775107,312128.98246019875
