snapped_at,price,market_cap,total_volume
2023-12-07 00:00:00 UTC,2.4270704296865637,279916858.97001225,546248482.046123
2023-12-08 00:00:00 UTC,2.4270704296865637,279916858.97001225,546248482.046123
2023-12-09 00:00:00 UTC,3.4626012776859616,396737393.18462473,1117080489.0506504
2023-12-10 00:00:00 UTC,3.339446836594476,385462024.56638044,850861240.5579484
2023-12-11 00:00:00 UTC,3.445474658650488,396297120.6578001,412273015.0106714
2023-12-12 00:00:00 UTC,2.9894856958660685,343719455.0262633,341567215.3286325
2023-12-13 00:00:00 UTC,2.9358200207547993,338006926.71020293,320609820.3904204
2023-12-14 00:00:00 UTC,2.8324978854654157,324760481.8643866,235034745.97708353
2023-12-15 00:00:00 UTC,3.3695731355478094,377808098.97606915,406811873.52008
2023-12-16 00:00:00 UTC,2.8311343884533673,329475255.4260063,414369416.82759255
2023-12-17 00:00:00 UTC,2.9210225068155395,335374302.3625012,216743258.5556778
2023-12-18 00:00:00 UTC,2.707643840130469,311522782.32094187,142931005.36260644
2023-12-19 00:00:00 UTC,2.5027380792359506,287532881.5668501,193592395.34056896
2023-12-20 00:00:00 UTC,2.3766592905837456,273093309.72638524,156967811.2160522
2023-12-21 00:00:00 UTC,2.6495804519248667,303982472.2176889,236194206.6936019
2023-12-22 00:00:00 UTC,2.8023511222128876,321436769.0162732,211821880.67522466
2023-12-23 00:00:00 UTC,2.6065357146866317,300027313.01731634,176488259.5407886
2023-12-24 00:00:00 UTC,2.627153491108184,302109158.29527926,94978457.5832308
2023-12-25 00:00:00 UTC,2.447497519034179,281903274.71807396,124454688.88970946
2023-12-26 00:00:00 UTC,2.772021054645867,319044030.36838347,171493468.94335842
2023-12-27 00:00:00 UTC,2.5180562097830244,290098641.58385813,136198664.82497266
2023-12-28 00:00:00 UTC,2.448364202279866,281188327.2622664,94371784.53817752
2023-12-29 00:00:00 UTC,2.3292410256773586,268045945.1183098,79886734.6637234
2023-12-30 00:00:00 UTC,2.2416734823959494,257681139.43540102,82028043.1364273
2023-12-31 00:00:00 UTC,2.212314771225968,254619897.99802402,42626080.21967868
